,result,table,_start,_stop,_time,_value,_field,_measurement
31,_result,17,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_PI_2190A.PV,frozen_check
32,_result,17,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_PI_2190A.PV,frozen_check
33,_result,18,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_PI_2191B.PV,frozen_check
34,_result,18,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_PI_2191B.PV,frozen_check
35,_result,19,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_PI_2191C.PV,frozen_check
36,_result,19,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_PI_2191C.PV,frozen_check
37,_result,20,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_PI_2192A.PV,frozen_check
38,_result,20,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_PI_2192A.PV,frozen_check
39,_result,21,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_PY_2191C.PV,frozen_check
40,_result,21,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_PY_2191C.PV,frozen_check
41,_result,22,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_TI_2173A.PV,frozen_check
42,_result,22,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_TI_2173A.PV,frozen_check
43,_result,23,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_TI_2173B.PV,frozen_check
44,_result,23,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_TI_2173B.PV,frozen_check
45,_result,24,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_TI_2174A.PV,frozen_check
46,_result,24,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_TI_2174A.PV,frozen_check
47,_result,25,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_TI_2175A.PV,frozen_check
48,_result,25,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_TI_2175A.PV,frozen_check
49,_result,26,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_TI_2176A.PV,frozen_check
50,_result,26,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_TI_2176A.PV,frozen_check
51,_result,27,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_TI_2176B.PV,frozen_check
52,_result,27,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_TI_2176B.PV,frozen_check
