,_measurement,HT_ZI_2181B.PV,_time,HT_ZI_2181A.PV,HT_ZI_2180B.PV,HT_ZI_2180A.PV,HT_VI_2188B.PV,HT_VI_2188A.PV,HT_VI_2187B.PV,HT_VI_2187A.PV,HT_VI_2184B.PV,HT_VI_2184A.PV,HT_VI_2183B.PV,HT_VI_2183A.PV,HT_TI_2191.PV,HT_TI_2190.PV,HT_TI_2189A.PV,HT_TI_2188A.PV,HT_TI_2187A.PV,HT_TI_2186E.PV,HT_TI_2186C.PV,HT_TI_2186A.PV,HT_TI_2185.PV,HT_TI_2183A.PV,HT_TI_2182.PV,HT_TI_2181.PV,HT_TI_2180.PV,HT_TI_2179D.PV,HT_TI_2179C.PV,HT_TI_2179B.PV,HT_TI_2178A.PV,HT_TI_2177A.PV,HT_TI_2176D.PV,HT_TI_2176C.PV,HT_TI_2176B.PV,HT_TI_2176A.PV,HT_TI_2175A.PV,HT_TI_2174A.PV,HT_TI_2173B.PV,HT_TI_2173A.PV,HT_PY_2191C.PV,HT_PI_2192A.PV,HT_PI_2191B.PV,HT_PI_2190A.PV,HT_PI_2189A.PV,HT_PI_2187.PV,HT_PI_2185A.PV,HT_PI_2183B.PV,HT_PI_2182.PV,HT_PI_2181.PV,HT_PDI_2185.PV,HT_PDI_2183.PV,HT_PDI_2180.PV,HT_FY_2180.PV,HT_FI_2191.PV,HT_FI_2190.PV,HT_FI_2188.PV,HT_FI_2180.PV
1665911986618302000,frozen_check,,2022-10-16 16:18:54.118598+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.115679+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.112833+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.109941+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.107296+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.103041+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.100378+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.097728+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.095241+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.092696+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.090277+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.088013+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.085677+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.083407+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.081076+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.078943+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.076931+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.074939+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.073071+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.071135+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.069343+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.067605+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.065709+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.063990+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.062208+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.060558+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.059022+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.057538+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.055953+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
1665911986618302000,frozen_check,,2022-10-16 16:18:54.054785+07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
